Vardas                   Pavarde                    ND1        ND2        ND3        ND4        ND5        ND6        ND7        ND8        ND9        ND10       ND11       ND12       ND13       ND14       ND15       
Vardas1                  Pavarde1                    8          9          9          1          7          5          5          10         1          7          7          5          8          6          7          
Vardas2                  Pavarde2                    3          7          9          2          7          7          8          10         6          7          8          5          6          7          2          
Vardas3                  Pavarde3                    1          9          10         10         2          4          9          7          5          4          7          5          6          7          5          
Vardas4                  Pavarde4                    5          4          5          1          3          10         6          6          7          8          7          10         3          5          2          
Vardas5                  Pavarde5                    10         9          10         3          10         1          1          6          8          5          5          2          4          6          6          
Vardas6                  Pavarde6                    5          6          5          1          4          5          6          5          7          4          8          4          4          3          3          
Vardas7                  Pavarde7                    5          8          4          7          8          2          8          7          7          4          1          5          2          7          9          
Vardas8                  Pavarde8                    10         3          8          4          1          6          2          9          2          3          6          5          9          5          7          
Vardas9                  Pavarde9                    4          6          1          10         7          9          10         7          7          2          10         7          10         1          1          
Vardas10                 Pavarde10                   10         9          9          9          6          6          1          7          9          9          7          5          8          1          3          
Vardas11                 Pavarde11                   10         4          7          4          5          7          6          3          2          9          9          8          2          9          9          
Vardas12                 Pavarde12                   4          9          8          7          9          3          4          10         5          10         10         8          10         9          1          
Vardas13                 Pavarde13                   10         6          10         10         9          4          4          5          8          2          8          8          6          9          9          
Vardas14                 Pavarde14                   8          3          5          7          10         5          3          2          10         9          3          10         10         1          10         
Vardas15                 Pavarde15                   5          7          10         7          3          2          9          8          3          9          1          5          3          5          10         
Vardas16                 Pavarde16                   1          7          1          5          9          4          8          5          5          10         5          6          2          8          6          
Vardas17                 Pavarde17                   2          10         9          4          1          7          8          2          10         4          6          1          4          8          7          
Vardas18                 Pavarde18                   2          4          9          4          2          4          7          8          3          3          10         9          8          3          4          
Vardas19                 Pavarde19                   6          10         6          8          9          9          3          7          1          3          4          8          6          2          5          
Vardas20                 Pavarde20                   5          8          5          9          4          2          2          4          10         3          10         2          2          6          7          
Vardas21                 Pavarde21                   8          5          1          2          2          3          5          8          8          10         2          9          1          1          10         
Vardas22                 Pavarde22                   6          6          1          1          3          7          7          9          8          8          8          4          1          5          2          
Vardas23                 Pavarde23                   1          8          5          10         2          6          5          4          7          8          4          2          8          8          8          
Vardas24                 Pavarde24                   5          1          4          10         5          6          10         5          6          3          8          7          8          2          7          
Vardas25                 Pavarde25                   7          8          9          7          5          5          4          8          7          3          6          10         4          10         8          
Vardas26                 Pavarde26                   4          6          7          2          7          3          10         1          8          4          2          5          9          4          5          
Vardas27                 Pavarde27                   10         7          10         7          2          7          2          3          6          9          3          9          4          10         9          
Vardas28                 Pavarde28                   9          3          3          10         8          10         9          2          2          2          9          1          2          4          3          
Vardas29                 Pavarde29                   10         3          8          6          7          10         8          6          3          7          1          1          5          6          9          
Vardas30                 Pavarde30                   6          10         9          10         3          5          6          3          8          9          9          7          8          8          6          
Vardas31                 Pavarde31                   2          8          5          2          2          8          6          9          9          10         10         9          9          3          9          
Vardas32                 Pavarde32                   4          4          9          5          4          2          8          4          5          1          6          6          2          1          3          
Vardas33                 Pavarde33                   5          5          5          4          1          10         4          4          8          3          9          4          4          4          1          
Vardas34                 Pavarde34                   3          6          10         2          5          1          6          3          5          9          5          2          2          9          8          
Vardas35                 Pavarde35                   6          9          7          1          3          6          10         2          4          9          5          3          1          7          2          
Vardas36                 Pavarde36                   6          3          6          7          3          10         1          8          9          1          10         10         7          3          4          
Vardas37                 Pavarde37                   4          8          9          8          2          1          2          1          10         5          10         4          1          9          5          
